ID,Title,Sku,Price,ComparePrice
116104047,بویلر آب جوش 10 لیتری برقی مشکی,,11570000,13000000
116104024,بویلر آب جوش گازی 20 لیتری,,18490000,20000000
116103984,بویلر کافی شاپ 20 لیتری,,16960000,18000000
116103882,بویلر آب جوش 10 لیتری برقی استیل,,10570000,12570000
116103756,یخ ساز صنعتی 50 کیلویی,,79000000,81000000
116103679,دستگاه یخ ساز 100 کیلویی,,170000000,172000000
116103573,یخساز حبه ای 250 کیلویی,,257000000,260000000
116103517,یخساز صنعتی 300 کیلویی,,287000000,290000000
116103402,یخ ساز صنعتی 400 کیلویی,,345000000,347000000
116103399,یخ ساز صنعتی بزرگ 500 کیلویی,,410000000,413000000
116101305,آبسردکن صنعتی استیل سه شیر سهند,,29800000,31000000
116101283,آبسردکن استیل چهار شیر دماوند,,34980000,36000000
116101243,آبسردکن استیل 3 شیر هیمالیا,,35640000,37000000
116101157,آبسردکن استیل 2 شیر هیمالیا,,31548000,33000000
116101105,دستگاه آبسردکن استیل 30گالن,,33990000,35000000
116101006,آبسردکن تک شیر زاگرس 35 لیتر,,23980000,24900000
116100977,دستگاه آبسردکن چهارشیر,,46750000,48000000
116100930,آبسردکن استیل دو شیر دماوند,,31548000,33000000
116100906,آبسردکن استیل 4شیر بزرگ,,41778000,43000000
116100884,آبسردکن دو شیر سهند,,25960000,26700000
116100851,آبسردکن استیل 3 شیر فلزی زاگرس,,29800000,31000000
116100815,آبسردکن استیل 2 شیر فلزی زاگرس,,25960000,27990000
116100806,آبسردکن استیل 4 شیر فلزی زاگرس,,34980000,36000000
116100791,آبسردکن استیل سه شیر دماوند,,35640000,37000000
